#onokad	O=0.9999865293502808|NORM=1.2970642274012789e-05
u	O=0.9999815225601196|NORM=1.8182310668635182e-05
mracnoj	NORM=0.9991699457168579|O=0.0008094476070255041
sobi	O=0.9996926784515381|NORM=0.00030598673038184643
punoj	O=0.9984608888626099|NORM=0.0015381493140012026
dima	NORM=0.8138047456741333|O=0.18617558479309082
sa	O=0.9999514818191528|NORM=4.8029647587100044e-05
forrest	NORM=0.7152549028396606|O=0.2847306728363037
progressive	O=0.55250483751297|NORM=0.44745326042175293
psy	O=0.7712013721466064|NORM=0.22876159846782684
muzikom	O=0.9946718811988831|NORM=0.005327288992702961
i	O=0.999955415725708|NORM=4.4373889977578074e-05
mojim	O=0.9969395399093628|NORM=0.003059732262045145
izopacenim	NORM=0.999537467956543|O=0.00044013463775627315
,	O=0.9998708963394165|NORM=0.00012865412281826138
bolesnim	O=0.9956321120262146|NORM=0.004367168061435223
umom	O=0.9996476173400879|NORM=0.0003520989848766476
.	O=0.9999817609786987|NORM=1.7186537661473267e-05

stvarno	O=0.9999600648880005|NORM=3.964814459322952e-05
je	O=0.9999687671661377|NORM=3.11653311655391e-05
cvrsto	O=0.991981029510498|NORM=0.008017349056899548
napravljen	O=0.999932050704956|NORM=6.733948976034299e-05
telefon	O=0.9991567134857178|NORM=0.0008410072769038379
.	O=0.9999817609786987|NORM=1.680435161688365e-05

danas	O=0.999984622001648|NORM=1.5027565495984163e-05
utakmica	O=0.9999464750289917|NORM=5.296770905260928e-05
počinje	O=0.9999880790710449|NORM=1.1466137948445976e-05
u	O=0.9999923706054688|NORM=7.162434485508129e-06
16	O=0.9999821186065674|NORM=1.7269481759285554e-05
h	O=0.9999878406524658|NORM=1.187818907055771e-05
,	O=0.9999927282333374|NORM=6.228853180800797e-06
taman	O=0.9998536109924316|NORM=0.00014536660455632955
za	O=0.9999790191650391|NORM=2.057946585409809e-05
zagrijavanje	O=0.9999396800994873|NORM=5.9320725995348766e-05
prije	O=0.999985933303833|NORM=1.3601511454908177e-05
odlaska	O=0.9999687671661377|NORM=3.0753581086173654e-05
na	O=0.9998669624328613|NORM=0.00013267158647067845
@nkrijeka	O=0.9999885559082031|NORM=1.108396281779278e-05
-	O=0.9999871253967285|NORM=1.2393629731377587e-05
@nklokomotiva	O=0.999984622001648|NORM=1.5013612937764265e-05
#rukomet	O=0.9999884366989136|NORM=1.1168497621838469e-05
#zamet	O=0.9999852180480957|NORM=1.4354532140714582e-05

bravo	O=0.9998466968536377|NORM=0.00015250580327119678
!!	O=0.9999703168869019|NORM=2.7032521757064387e-05

svi	O=0.9999860525131226|NORM=1.3662315723195206e-05
koji	O=0.9999744892120361|NORM=2.5314531740150414e-05
to	O=0.9999436140060425|NORM=5.541145583265461e-05
i	O=0.9999513626098633|NORM=4.8300789785571396e-05
pokusaju	NORM=0.9985358715057373|O=0.0014578819973394275
opet	O=0.9993844032287598|NORM=0.000614567135926336
vidis	NORM=0.9578858613967896|O=0.042091503739356995
da	O=0.9999450445175171|NORM=5.479512401507236e-05
se	O=0.9999039173126221|NORM=9.58766759140417e-05
bas	NORM=0.9997175335884094|O=0.00026423000963404775
to	O=0.9998843669891357|NORM=0.00011533351062098518
trude	O=0.9992830157279968|NORM=0.0007167118019424379
da	O=0.9999196529388428|NORM=8.020178938750178e-05
zele	NORM=0.9987667798995972|O=0.001224118983373046
a	O=0.9999463558197021|NORM=5.330158455763012e-05
oni	O=0.9999239444732666|NORM=7.579602970508859e-05
to	O=0.9999444484710693|NORM=5.507953028427437e-05
nekak	NORM=0.9763655662536621|O=0.023611783981323242
ono	O=0.9966097474098206|NORM=0.0033890220802277327
leđero	NORM=0.9452502131462097|O=0.054709963500499725
izvedu	O=0.9950114488601685|NORM=0.004987160675227642

:)	O=0.9999827146530151|NORM=1.5794734281371348e-05

@vooneni	O=0.9999871253967285|NORM=1.2364304893708322e-05
yep	O=0.9965936541557312|NORM=0.0034049192909151316
.	O=0.999990701675415|NORM=7.76529577706242e-06

kako	O=0.9999822378158569|NORM=1.749474358803127e-05
obožavam	O=0.9999899864196777|NORM=9.551360562909395e-06
slučajne	O=0.9999738931655884|NORM=2.5744275262695737e-05
susrete	O=0.9999746084213257|NORM=2.444667916279286e-05
s	O=0.9999868869781494|NORM=1.2578586392919533e-05
ljudima	O=0.9999827146530151|NORM=1.6344798495993018e-05
koje	O=0.9999744892120361|NORM=2.4462113287881948e-05
nisam	O=0.9999727010726929|NORM=2.665646570676472e-05
dosta	O=0.9999620914459229|NORM=3.766893132706173e-05
dugo	O=0.9999785423278809|NORM=2.1081992599647492e-05
vidjela	O=0.999774158000946|NORM=0.00022510281996801496
...	O=0.9999775886535645|NORM=2.077146382362116e-05

ili	O=0.9999686479568481|NORM=3.090236714342609e-05
razrjedivac	NORM=0.9990717172622681|O=0.0009190950659103692
.	O=0.9999891519546509|NORM=9.424918971490115e-06

danas	O=0.9996121525764465|NORM=0.00038672343362122774
ce	NORM=0.9995023012161255|O=0.0004911177093163133
biti	O=0.9991987347602844|NORM=0.0008008349686861038
koreografije	O=0.9999275207519531|NORM=7.196624937932938e-05
,	O=0.999987006187439|NORM=1.2408613656589296e-05
jedna	O=0.9999263286590576|NORM=7.257135439431295e-05
od	O=0.9999316930770874|NORM=6.809803744545206e-05
najkompliciraniji	NORM=0.8366490602493286|O=0.16334301233291626
,	O=0.9999784231185913|NORM=2.0657278582802974e-05
zato	O=0.9999221563339233|NORM=7.745471521047875e-05
svi	O=0.9999514818191528|NORM=4.826929944101721e-05
pazite	O=0.9998950958251953|NORM=0.00010463191574672237
na	O=0.9999788999557495|NORM=2.094802403007634e-05
kartone	O=0.9998376369476318|NORM=0.00016082765068858862
!	O=0.9999853372573853|NORM=1.4112565622781403e-05

oću	NORM=0.9829527139663696|O=0.017030464485287666
uloške	O=0.9178979396820068|NORM=0.08208309859037399
koji	O=0.9999392032623291|NORM=6.023946116329171e-05
se	O=0.9999839067459106|NORM=1.593534034327604e-05
zovu	O=0.9999806880950928|NORM=1.900624374684412e-05
slayer	O=0.9987758994102478|NORM=0.0012187195243313909
!	O=0.9999889135360718|NORM=8.961811545304954e-06

kakogod	O=0.9190803170204163|NORM=0.08091212809085846
,	O=0.9999918937683105|NORM=7.527009074692614e-06
želudac	O=0.9999219179153442|NORM=7.746127084828913e-05
mi	O=0.9999663829803467|NORM=3.3195086871273816e-05
se	O=0.9999489784240723|NORM=5.078485992271453e-05
umalo	O=0.9984694123268127|NORM=0.0015277555212378502
preokrenuo	O=0.9992923736572266|NORM=0.0007059458293952048
.	O=0.9999915361404419|NORM=7.057090442685876e-06

biser	O=0.9988389611244202|NORM=0.0011570892529562116
na	O=0.9999783039093018|NORM=2.13725033972878e-05
netu	O=0.9911734461784363|NORM=0.008825385943055153
:	O=0.9999599456787109|NORM=3.5694469261216e-05
"	O=0.9999916553497314|NORM=7.641370757482946e-06
exxon	O=0.9871483445167542|NORM=0.01284170150756836
ne	O=0.9999641180038452|NORM=3.55648880940862e-05
zasluzuje	NORM=0.9991694688796997|O=0.0008098738617263734
biti	O=0.9997313618659973|NORM=0.0002683857746887952
najvrijednija	O=0.996353268623352|NORM=0.0036445395089685917
komp.	O=0.9718766212463379|NORM=0.028117602691054344
na	O=0.9994890689849854|NORM=0.0005105262971483171
wall	O=0.9697452783584595|NORM=0.03024885803461075
str.	O=0.9845824241638184|NORM=0.015396076254546642
jer	O=0.9991181492805481|NORM=0.0008812269079498947
jos	NORM=0.9984821677207947|O=0.0015037334524095058
uvijek	O=0.999829888343811|NORM=0.00016964133828878403
nisu	O=0.999816358089447|NORM=0.00018321670359000564
platili	O=0.999402642250061|NORM=0.0005962199065834284
odstetu	NORM=0.9845343828201294|O=0.015457880683243275
obiteljima	O=0.9999347925186157|NORM=6.440824654418975e-05
za	O=0.9999693632125854|NORM=3.037009810213931e-05
valdez	O=0.9011667370796204|NORM=0.09882115572690964
tragediju	O=0.9998500347137451|NORM=0.00014943082351237535
"	O=0.9999853372573853|NORM=1.3932513866166119e-05

idem	O=0.9999442100524902|NORM=5.50087024748791e-05
kupit	NORM=0.9991933703422546|O=0.0007470812415704131
vriću	NORM=0.6257845163345337|O=0.3741793930530548
cimenta	O=0.9292837381362915|NORM=0.07070386409759521
.	O=0.9999921321868896|NORM=5.861784757144051e-06

rt	O=0.9998341798782349|NORM=0.0001617532252566889
"	O=0.9999938011169434|NORM=5.06311016579275e-06
@depresseddarth	O=0.9999860525131226|NORM=1.2574005268106703e-05
:	O=0.9999881982803345|NORM=9.784656867850572e-06
life	O=0.9999786615371704|NORM=2.0433468307601288e-05
is	O=0.9999780654907227|NORM=1.9890188923454843e-05
hard	O=0.999976634979248|NORM=2.2295222152024508e-05
,	O=0.9999854564666748|NORM=1.1706180885084905e-05
unless	O=0.9999727010726929|NORM=2.438090268697124e-05
you	O=0.9997883439064026|NORM=0.00019764098396990448
have	O=0.9998774528503418|NORM=0.00011233799159526825
a	O=0.999721348285675|NORM=0.00025631062453612685
lightsaber	O=0.9998795986175537|NORM=0.0001189965259982273
"	O=0.9999874830245972|NORM=9.673975910118315e-06

ne	O=0.9999687671661377|NORM=3.0517221603076905e-05
nasjedajte	O=0.999737560749054|NORM=0.0002608141512610018
na	O=0.9999725818634033|NORM=2.709530235733837e-05
lažne	O=0.9999173879623413|NORM=8.208592771552503e-05
poruke	O=0.9998509883880615|NORM=0.00014656881103292108
o	O=0.999970555305481|NORM=2.9113458367646672e-05
naplaćivanju	O=0.9986163377761841|NORM=0.0013825324131175876
vibera	O=0.9674331545829773|NORM=0.03251342475414276
i	O=0.999972939491272|NORM=2.661775579326786e-05
whatsappa	O=0.9989885687828064|NORM=0.0010060850763693452
!	O=0.9999847412109375|NORM=1.2821915333915967e-05

dugo	O=0.9999043941497803|NORM=9.366199083160609e-05
ju	O=0.9998136162757874|NORM=0.00018470444774720818
nije	O=0.9997705817222595|NORM=0.00022609104053117335
slušao	O=0.9999744892120361|NORM=2.4942348318290897e-05
.	O=0.9999865293502808|NORM=1.2066963790857699e-05

kontakt	O=0.9999295473098755|NORM=7.009023102000356e-05
:	O=0.9999814033508301|NORM=1.7884054614114575e-05
gđa.	O=0.9999423027038574|NORM=5.681730908690952e-05
ankica	O=0.9999088048934937|NORM=9.095107816392556e-05
petrak	O=0.9994250535964966|NORM=0.0005740109481848776
,	O=0.9999908208847046|NORM=8.308120413857978e-06
6147	O=0.9985541701316833|NORM=0.0014447293942794204
-	O=0.9999680519104004|NORM=3.11408621200826e-05
001	O=0.9999382495880127|NORM=6.139630568213761e-05

dobro	O=0.9999547004699707|NORM=4.507084304350428e-05
,	O=0.9999756813049316|NORM=2.3202670490718447e-05
pretty	O=0.9921608567237854|NORM=0.0077997976914048195
hurts	O=0.9054517149925232|NORM=0.09439463913440704
je	O=0.999937891960144|NORM=6.199139897944406e-05
ok	O=0.9998738765716553|NORM=0.0001256674004253
možda	O=0.9995790123939514|NORM=0.00042032141936942935
i	O=0.9999498128890991|NORM=4.986855128663592e-05
xo	NORM=0.9880295395851135|O=0.011939354240894318
,	O=0.9999735355377197|NORM=2.5582978196325712e-05
***flawless	O=0.835680365562439|NORM=0.16430313885211945
mi	O=0.999930739402771|NORM=6.897036655573174e-05
je	O=0.9999692440032959|NORM=3.0618681194027886e-05
ok	O=0.999893307685852|NORM=0.00010645666043274105
onaj	O=0.9999852180480957|NORM=1.442853499611374e-05
drugi	O=0.9999758005142212|NORM=2.3914242774480954e-05
dio	O=0.9999721050262451|NORM=2.7456753741716966e-05
kad	O=0.9999862909317017|NORM=1.3244221008790191e-05
prestane	O=0.9994052648544312|NORM=0.0005924205179326236
serekat	NORM=0.9996215105056763|O=0.0003499845915939659
nešto	O=0.9997401833534241|NORM=0.00025924856890924275
nebitne	O=0.9998171925544739|NORM=0.0001813061098800972
.	O=0.9999865293502808|NORM=1.237305059476057e-05

umri	O=0.9994082450866699|NORM=0.0005901596741750836
,	O=0.9999843835830688|NORM=1.4447566172748338e-05
boktejebo	NORM=0.9891268610954285|O=0.010861733928322792
.	O=0.9999891519546509|NORM=8.314424121635966e-06

ali	O=0.9999487400054932|NORM=5.0433816795703024e-05
s.	O=0.9999518394470215|NORM=4.6930217649787664e-05
shepard	O=0.9996609687805176|NORM=0.00033255075686611235
i	O=0.9999860525131226|NORM=1.3719333765038755e-05
njegov	O=0.9999476671218872|NORM=5.1467686716932803e-05
odgovor	O=0.9999560117721558|NORM=4.321543747209944e-05
na	O=0.9999704360961914|NORM=2.9112981792422943e-05
komentar	O=0.9999512434005737|NORM=4.720867582364008e-05
da	O=0.999985933303833|NORM=1.373784471070394e-05
je	O=0.9999899864196777|NORM=9.764529750100337e-06
uspio	O=0.9999643564224243|NORM=3.400143759790808e-05
u	O=0.9999849796295166|NORM=1.4783265214646235e-05
životu	O=0.9999707937240601|NORM=2.8703843781840988e-05
:	O=0.9999829530715942|NORM=1.3946759281679988e-05
"	O=0.9999934434890747|NORM=5.2766322369279806e-06
but	O=0.9999799728393555|NORM=1.9061921193497255e-05
you	O=0.9999709129333496|NORM=2.754647175606806e-05
know	O=0.9999834299087524|NORM=1.4859866496408358e-05
,	O=0.9999803304672241|NORM=1.602205156814307e-05
oddly	O=0.9861674904823303|NORM=0.013764035888016224
,	O=0.9999829530715942|NORM=1.3162356481188908e-05
i	O=0.9998898506164551|NORM=0.00010865206422749907
wasn't	O=0.999985933303833|NORM=1.2966874237463344e-05
even	O=0.9999849796295166|NORM=1.4715171346324496e-05
fucking	O=0.9997813105583191|NORM=0.00021759915398433805
trying	O=0.9999622106552124|NORM=3.539006502251141e-05
.	O=0.9999852180480957|NORM=1.1098491086158901e-05
"	O=0.9999881982803345|NORM=9.291239621234126e-06

primjetio	NORM=0.9996410608291626|O=0.00034801007132045925
sam	O=0.9997273087501526|NORM=0.00027207660605199635
da	O=0.999967098236084|NORM=3.2541203836444765e-05
vecina	NORM=0.9768820405006409|O=0.023102957755327225
ljudi	O=0.9999828338623047|NORM=1.6765870896051638e-05
koji	O=0.999984622001648|NORM=1.4851611013000365e-05
su	O=0.9999693632125854|NORM=3.0401628464460373e-05
gledali	O=0.9996036887168884|NORM=0.0003958892775699496
southpark	O=0.9758795499801636|NORM=0.02410992793738842
nije	O=0.9999613761901855|NORM=3.821859718300402e-05
povezalo	O=0.9968587160110474|NORM=0.0031392539385706186
uzvik	O=0.5550804734230042|NORM=0.4448755085468292
"	O=0.9999874830245972|NORM=1.1790086318796966e-05
omg	O=0.9998593330383301|NORM=0.0001384197239531204
they	O=0.9999245405197144|NORM=7.320286385947838e-05
killed	O=0.9999467134475708|NORM=5.0981470849364996e-05
kenny	O=0.9999072551727295|NORM=9.059005242306739e-05
"	O=0.9999557733535767|NORM=4.22307348344475e-05
sa	O=0.9999719858169556|NORM=2.7297955966787413e-05
ubojstvom	O=0.999697208404541|NORM=0.00030139245791360736
jfk-a	O=0.9948896169662476|NORM=0.005107873119413853
.	O=0.9999877214431763|NORM=1.1203213034605142e-05

sto	NORM=0.9998482465744019|O=0.00013204064453020692
cemo	NORM=0.9873979091644287|O=0.012594924308359623
opet	O=0.9994586110115051|NORM=0.0005405523697845638
morat	NORM=0.9997057318687439|O=0.0002597590791992843
slusat	NORM=0.9996905326843262|O=0.0002810029254760593
/	O=0.9974749684333801|NORM=0.0025230927858501673
pjevat	NORM=0.9993657469749451|O=0.0005639753653667867
ovo	O=0.9999665021896362|NORM=3.266888597863726e-05
ljeto	O=0.9998769760131836|NORM=0.00012039361899951473
.	O=0.9999825954437256|NORM=1.6298474292852916e-05

ustvari	O=0.9993762373924255|NORM=0.0006222129450179636
,	O=0.9999858140945435|NORM=1.2616740605153609e-05
puno	O=0.9999102354049683|NORM=8.924446592573076e-05
je	O=0.9999856948852539|NORM=1.4126278074400034e-05
ljepše	O=0.999954342842102|NORM=4.506145342020318e-05
:)	O=0.9999772310256958|NORM=1.8404702132102102e-05

pažnja	O=0.9999359846115112|NORM=6.340262916637585e-05
,	O=0.9999866485595703|NORM=1.2384798537823372e-05
oko	O=0.9999892711639404|NORM=1.0459013537911233e-05
9:13	O=0.9988442659378052|NORM=0.0011542310239747167
sati	O=0.9998489618301392|NORM=0.00015070683730300516
se	O=0.9999725818634033|NORM=2.723660145420581e-05
iznad	O=0.9998842477798462|NORM=0.00011536452802829444
zagreba	O=0.9996315240859985|NORM=0.00036466497112996876
pojavio	O=0.9999105930328369|NORM=8.877830259734765e-05
svijetleći	O=0.9985947012901306|NORM=0.0014046267606317997
nlo	O=0.8794220089912415|NORM=0.12055648863315582
.	O=0.9999897480010986|NORM=9.131544175033923e-06

večernji	O=0.9999229907989502|NORM=7.674509106436744e-05
:	O=0.9999898672103882|NORM=9.301114005211275e-06
hajduk	O=0.9998522996902466|NORM=0.00014526622544508427
i	O=0.9999827146530151|NORM=1.703702400845941e-05
bez	O=0.9999858140945435|NORM=1.3966963706479874e-05
velike	O=0.9999626874923706|NORM=3.70463530998677e-05
igre	O=0.999972939491272|NORM=2.6655021429178305e-05
lako	O=0.9996708631515503|NORM=0.0003278384974692017
do	O=0.9999357461929321|NORM=6.382022547768429e-05
bodova	O=0.9998975992202759|NORM=0.0001016649475786835
u	O=0.9999704360961914|NORM=2.9386206733761355e-05
maksimiru	O=0.9996199607849121|NORM=0.00037898527807556093
http://t.co/vzwaqqbo8l	O=0.9999889135360718|NORM=1.0819877388712484e-05
#hajduk	O=0.9999895095825195|NORM=1.0081183972943109e-05
#maxtvprvaliga	O=0.9999886751174927|NORM=1.1016014468623325e-05

kad	O=0.9999762773513794|NORM=2.335727185709402e-05
na	O=0.9999679327011108|NORM=3.194333839928731e-05
vratima	O=0.9998915195465088|NORM=0.00010805692727444693
ureda	O=0.9983003735542297|NORM=0.0016966783441603184
vidim	O=0.9999363422393799|NORM=6.223346281331033e-05
natpis	O=0.9830279350280762|NORM=0.016969216987490654
"	O=0.9999915361404419|NORM=7.906943210400641e-06
kucaj	NORM=0.9929515719413757|O=0.007039184216409922
te	O=0.9994864463806152|NORM=0.0005127667682245374
"	O=0.9999796152114868|NORM=1.9530152712832205e-05
,	O=0.9999873638153076|NORM=1.1451442333054729e-05
dođe	O=0.9778123497962952|NORM=0.02218247950077057
mi	O=0.9999151229858398|NORM=8.45766335260123e-05
da	O=0.999841570854187|NORM=0.0001581510587129742
pokucam	NORM=0.9696992039680481|O=0.030223891139030457
samo	O=0.9999105930328369|NORM=8.906170114642009e-05
da	O=0.9999127388000488|NORM=8.707223605597392e-05
im	O=0.999942421913147|NORM=5.689512545359321e-05
kažem	O=0.9998364448547363|NORM=0.00016322510782629251
da	O=0.9999579191207886|NORM=4.183685450698249e-05
su	O=0.9999532699584961|NORM=4.656009696191177e-05
idioti	O=0.999863862991333|NORM=0.00013526233669836074
.	O=0.9999876022338867|NORM=1.0710507012845483e-05

macintosh	O=0.999936580657959|NORM=6.25957254669629e-05
danas	O=0.9999819993972778|NORM=1.6744508684496395e-05
slavi	O=0.9999796152114868|NORM=1.9722563592949882e-05
30.	O=0.9999867677688599|NORM=1.2569074897328392e-05
rođendan	O=0.9999876022338867|NORM=1.1834462384285871e-05
http://t.co/gb44qvsfff	O=0.9999895095825195|NORM=1.0181726793234702e-05
#novost	O=0.9999730587005615|NORM=2.6611667635734193e-05
#zabavaizanimljivosti	O=0.999987006187439|NORM=1.274146961804945e-05
#apple	O=0.9999908208847046|NORM=8.879485903889872e-06
#mac	O=0.9999748468399048|NORM=2.461378426232841e-05
#it	O=0.9999744892120361|NORM=2.513298750272952e-05
#računala	O=0.9999728202819824|NORM=2.6632404114934616e-05
#mobi	O=0.9999725818634033|NORM=2.6975383661920205e-05

fali	O=0.9998698234558105|NORM=0.00012955290731042624
mu	O=0.999968409538269|NORM=3.1135554309003055e-05
sto	NORM=0.9996032118797302|O=0.00038034503813833
i	O=0.9999622106552124|NORM=3.7293124478310347e-05
mojim	O=0.9999141693115234|NORM=8.559515117667615e-05
sisama	O=0.7161075472831726|NORM=0.28387367725372314
.	O=0.9999921321868896|NORM=6.6735756263369694e-06

hannes	O=0.9991975426673889|NORM=0.0008010921883396804
swoboda	O=0.991606593132019|NORM=0.008389532566070557
na	O=0.9999760389328003|NORM=2.3640846848138608e-05
s&d	O=0.999862551689148|NORM=0.00013636398944072425
grupi	O=0.9993882179260254|NORM=0.0006100238533690572
u	O=0.9999665021896362|NORM=3.333283166284673e-05
ep	O=0.9761993885040283|NORM=0.0237042885273695
primjećuje	O=0.9979795813560486|NORM=0.0020198014099150896
da	O=0.9999823570251465|NORM=1.7334794392809272e-05
se	O=0.9999712705612183|NORM=2.845941526175011e-05
nakon	O=0.9999872446060181|NORM=1.2269830222066958e-05
predugog	O=0.8571653962135315|NORM=0.14282365143299103
inzistiranja	O=0.9996556043624878|NORM=0.00034352217335253954
na	O=0.9999617338180542|NORM=3.80035926355049e-05
"	O=0.9999690055847168|NORM=3.0357752621057443e-05
cut	O=0.9981910586357117|NORM=0.001804491737857461
,	O=0.9999573230743408|NORM=4.135501876589842e-05
cut	O=0.9970270991325378|NORM=0.0029623708687722683
,	O=0.9999352693557739|NORM=6.32442970527336e-05
cut	O=0.9925917387008667|NORM=0.007384877186268568
"	O=0.9999208450317383|NORM=7.768497744109482e-05
u	O=0.9999713897705078|NORM=2.834581391653046e-05
eu	O=0.9986244440078735|NORM=0.0013736913679167628
sve	O=0.9999895095825195|NORM=1.0285665666742716e-05
jače	O=0.99992835521698|NORM=7.113086030585691e-05
čuje	O=0.9991347193717957|NORM=0.0008634654805064201
-	O=0.9999102354049683|NORM=8.879689266905189e-05
growth	O=0.9993724226951599|NORM=0.0006226890254765749
!	O=0.9999847412109375|NORM=1.2971917385584675e-05

jedna	O=0.9999815225601196|NORM=1.7673559341346845e-05
od	O=0.9999744892120361|NORM=2.522911745472811e-05
iritantnijih	O=0.9999203681945801|NORM=7.935188477858901e-05
stvari	O=0.9999709129333496|NORM=2.8511671189335175e-05
kad	O=0.9999749660491943|NORM=2.4597453375463374e-05
ti	O=0.9998589754104614|NORM=0.0001398191088810563
chrome	O=0.9995580315589905|NORM=0.00044061068911105394
na	O=0.9999595880508423|NORM=3.9690115954726934e-05
nekim	O=0.9999328851699829|NORM=6.620121712330729e-05
stranicama	O=0.9999412298202515|NORM=5.8295350754633546e-05
nikako	O=0.9997147917747498|NORM=0.00028103977092541754
ne	O=0.9999781847000122|NORM=2.145570033462718e-05
želi	O=0.9999814033508301|NORM=1.8226128304377198e-05
ponuditi	O=0.9998756647109985|NORM=0.00012349158350843936
spremanje	O=0.9997932314872742|NORM=0.0002058787940768525
passworda	O=0.9995631575584412|NORM=0.00043103835196234286
.	O=0.9999839067459106|NORM=1.4117417777015362e-05

@ikopric	O=0.999988317489624|NORM=1.1394185094104614e-05
@cepodario	O=0.9999887943267822|NORM=1.0913093319686595e-05
@vdulabic	O=0.9999839067459106|NORM=1.5895195247139782e-05
ako	O=0.9999858140945435|NORM=1.3843544365954585e-05
shvatih	O=0.9997745156288147|NORM=0.0002246698859380558
:	O=0.9999779462814331|NORM=2.145430516975466e-05
1	O=0.9999340772628784|NORM=6.565724470419809e-05
referendum	O=0.9999399185180664|NORM=5.900387986912392e-05
na	O=0.9999421834945679|NORM=5.749609408667311e-05
kojem	O=0.9999538660049438|NORM=4.5580258301924914e-05
svi	O=0.9999891519546509|NORM=1.0643745554261841e-05
odlucuju	NORM=0.998984158039093|O=0.0010059300111606717
o	O=0.9999840259552002|NORM=1.555079870740883e-05
svemu	O=0.9999425411224365|NORM=5.673658597515896e-05
tj.	O=0.9932263493537903|NORM=0.0067706056870520115
o	O=0.9999659061431885|NORM=3.375279266037978e-05
konceptu	O=0.9996095299720764|NORM=0.0003875568218063563
+	O=0.9999597072601318|NORM=3.982779890066013e-05
promjena	O=0.99985671043396|NORM=0.00014285057841334492
#ustav	O=0.9999806880950928|NORM=1.9120525394100696e-05
?	O=0.9999861717224121|NORM=1.305463956668973e-05

to	O=0.9999715089797974|NORM=2.821323687385302e-05
je	O=0.999974250793457|NORM=2.5596957129891962e-05
to	O=0.9999697208404541|NORM=3.0032722861506045e-05
:)	O=0.9999765157699585|NORM=1.8808397726388648e-05

ja	O=0.9998971223831177|NORM=0.00010263155127177015
pitm	NORM=0.9549031257629395|O=0.045079197734594345
sad	O=0.9998869895935059|NORM=0.00011192532838322222
i	O=0.99994957447052|NORM=5.004457852919586e-05
ona	O=0.9999418258666992|NORM=5.741843051509932e-05
mi	O=0.9999641180038452|NORM=3.547931555658579e-05
odrzi	NORM=0.7193081378936768|O=0.2806772291660309
prodike	O=0.8449965119361877|NORM=0.1549622267484665
ma	O=0.9994168281555176|NORM=0.00058262754464522
puj	O=0.9884900450706482|NORM=0.011503788642585278
ahahah	O=0.9785239696502686|NORM=0.021455861628055573
pikabuu	NORM=0.7266950011253357|O=0.2732384204864502

timbaland	O=0.9998985528945923|NORM=0.00010089215356856585
-	O=0.9999746084213257|NORM=2.4387321900576353e-05
missy	O=0.9990074038505554|NORM=0.0009919668082147837
elliott	O=0.9989056587219238|NORM=0.0010936990147456527
produkcijski	O=0.9997922778129578|NORM=0.00020747432427015156
tandem	O=0.9983201622962952|NORM=0.001675351057201624
i	O=0.9999850988388062|NORM=1.4745840417162981e-05
sve	O=0.9999858140945435|NORM=1.3906384083384182e-05
što	O=0.9999847412109375|NORM=1.5080571756698191e-05
je	O=0.9999825954437256|NORM=1.7295762518187985e-05
izašlo	O=0.9999796152114868|NORM=1.9842003894154914e-05
iz	O=0.9999624490737915|NORM=3.7289184547262266e-05
njihove	O=0.9998570680618286|NORM=0.00014247417857404798
butige	O=0.6812545657157898|NORM=0.318721741437912
.	O=0.9999896287918091|NORM=9.57297015702352e-06

jedna	O=0.9997429251670837|NORM=0.00025528453988954425
od	O=0.9807064533233643|NORM=0.019286353141069412
tocaka	NORM=0.9963726997375488|O=0.0036186957731842995
za	O=0.9932324886322021|NORM=0.006759425159543753
zakljuciti	NORM=0.9995855689048767|O=0.00040468969382345676
kako	O=0.9997407793998718|NORM=0.00025884382193908095
#eu	O=0.9998741149902344|NORM=0.000125050893984735
nije	O=0.999954104423523|NORM=4.571464887703769e-05
demokratska	O=0.9997671246528625|NORM=0.00023253659310285002
tvorevina	O=0.9811958074569702|NORM=0.018801845610141754
je	O=0.998955488204956|NORM=0.0010442015482112765
i	O=0.9999423027038574|NORM=5.737827450502664e-05
to	O=0.9999325275421143|NORM=6.597323226742446e-05
sto	NORM=0.9989493489265442|O=0.0010110985022038221
njemacka	NORM=0.8941447138786316|O=0.10584492981433868
ima	O=0.9999734163284302|NORM=2.633801159390714e-05
96	O=0.9782706499099731|NORM=0.02172759547829628
zastupnika	O=0.999907374382019|NORM=9.215232421411201e-05
u	O=0.9999531507492065|NORM=4.666944732889533e-05
#euparlamentu	O=0.9988802075386047|NORM=0.0011159770656377077
.	O=0.9999904632568359|NORM=8.77655293152202e-06

prihvatio	O=0.9999494552612305|NORM=4.94909800181631e-05
sam	O=0.9999276399612427|NORM=7.179892418207601e-05
jedan	O=0.999972939491272|NORM=2.656495780684054e-05
friend	O=0.9995490908622742|NORM=0.00044399770558811724
request	O=0.9999040365219116|NORM=9.43899794947356e-05
i	O=0.999987006187439|NORM=1.2583625903062057e-05
sad	O=0.9999852180480957|NORM=1.4357433428813238e-05
imam	O=0.9999754428863525|NORM=2.4307675630552694e-05
deset	O=0.957414448261261|NORM=0.042580511420965195
profila	O=0.9997238516807556|NORM=0.00027526865596883
ogranaka	O=0.999485969543457|NORM=0.000512471015099436
i	O=0.9999774694442749|NORM=2.2192396500031464e-05
mladeži	O=0.999885082244873|NORM=0.00011469380842754617
hdz-a	O=0.9990241527557373|NORM=0.0009744611452333629
